tweet,date,city,user_location,id,link
"¡ATENCIÓN! #DEPORTES 
Eliminatorias Sudamericanas: la Selección de Chile venció 2-0 a Perú en la fecha 3
Conozcas más detalles aquí en #ChicaNoticias 
https://t.co/bYsjJaBwIQ",2020-11-14 01:58:28,colombia,"Córdoba, Colombia",1327430669589471233,https://twitter.com/i/web/status/1327430669589471233
"Observando a las otras selecciones en las eliminatorias, juegan con una intensidad con mucha presión a los rivales, algo que #Colombia carece; Van a estar bien complicado para los nuestros. Hoy jugaron sin alma, una falta de respeto al país futbolero. https://t.co/8EdtfG923D",2020-11-14 00:53:39,colombia,"Montería, Colombia",1327414355143626752,https://twitter.com/i/web/status/1327414355143626752
Primer partido que me veo de Colombia en las eliminatorias y pierde 😒🙄,2020-11-14 00:02:18,colombia,"Sahagún, Colombia",1327401433185083398,https://twitter.com/i/web/status/1327401433185083398
"#COLURU Eliminatorias Sudamericanas: Colombia cae en Barranquilla ante Uruguay Balón de fútbol
La selección dirigida por Óscar Washington Tabárez derrotó por marcador de 0-3 a su similar colombiano en la tercera fecha de las eliminatorias de la Conmebol rumbo a la Copa del Mundo https://t.co/775sgBhOyM",2020-11-13 23:52:46,colombia,lorica córdoba colombia,1327399035356008448,https://twitter.com/i/web/status/1327399035356008448
"!MUCHA ATENCIÓN! #NACIONAL #DEPORTES
¡Nos complicamos! Así quedó la tabla de las Eliminatorias tras derrota de Colombia con Uruguay
Conozca más detalles aquí en #CHN
https://t.co/HlwwPYI0Ie",2020-11-13 23:27:26,colombia,"Córdoba, Colombia",1327392657728004096,https://twitter.com/i/web/status/1327392657728004096
#EnVideo 🎥 La Selección de Uruguay se deshizo de su historial de derrotas en Barranquilla y goleo 0-3 a Colombia en el Metropolitano por la tercera fecha de las Eliminatorias rumbo a Qatar 2022. https://t.co/mxe4zqWp8I,2020-11-13 23:11:41,colombia,"Montería, Colombia",1327388695679406080,https://twitter.com/i/web/status/1327388695679406080
#EnVideo 🎥 La Selección de Uruguay se deshizo de su historial de derrotas en Barranquilla y goleo 0-3 a Colombia en el Metropolitano por la tercera fecha de las Eliminatorias rumbo a Qatar 2022. https://t.co/YhL1ROu2Vb,2020-11-13 23:11:31,colombia,Montería - Colombia,1327388654034149378,https://twitter.com/i/web/status/1327388654034149378
Me parece que el DT no termina las eliminatorias completas.,2020-11-13 22:36:39,colombia,SAHAGUN CORDOBA,1327379878707126272,https://twitter.com/i/web/status/1327379878707126272
"@jvg0884 @MelukLeCuenta Osea que en esta Eliminatorias se le olvido jugar ahí? 
Porque con Pekerman volaban hasta un 3 a 0 remontaron y todos jugando en Europa también. 🤔",2020-11-13 22:33:03,colombia,Montería Córdoba,1327378974645825537,https://twitter.com/i/web/status/1327378974645825537
Lo bueno es que la tercera y cuarta fecha han sido problema durante las últimas 2 eliminatorias e igual se fue al mundial.,2020-11-13 22:28:31,colombia,"Sincelejo, Colombia",1327377832591454209,https://twitter.com/i/web/status/1327377832591454209
"@Mamayamojika @YeisonBenitez17 @dperezdeportes Pero tememos para pelear las eliminatorias sobrado y en las 2 eliminatorias seguidas lo demostraron, pero si los dirige alguien que no sabe ni donde está parado lo más lógico es el fracaso.",2020-11-13 22:25:55,colombia,Montería Córdoba,1327377177197895682,https://twitter.com/i/web/status/1327377177197895682
"@carlosbloom Bloom, hoy si PERO revise los tres partidos de eliminatorias: 
1 Venezuela ganamos con goleada
2. Chile empate de aborto
3. Uruguay perdiendo por goleada.

¿Somos un equipo de jerarquía? ¿De verdad somos rivales directo? Tenemos nombres pero no juego.",2020-11-13 22:24:25,colombia,"Magangué, Colombia",1327376800520019970,https://twitter.com/i/web/status/1327376800520019970
Y sigan creyendo que Colombia es favorita siempre en las eliminatorias...,2020-11-13 22:21:46,colombia,"Montería, Colombia",1327376136083566595,https://twitter.com/i/web/status/1327376136083566595
3 partidos de eliminatorias y James ni se ve 🤣,2020-11-13 22:19:02,colombia,Sampues,1327375447387238400,https://twitter.com/i/web/status/1327375447387238400
#ColombiaVsUruguay ¡Gol de #Uruguay! A los 4' anota Edinson Cavani y pone el 1-0 para los charrúas en la fecha 3 de las #Eliminatorias https://t.co/Nrl5DVclW4,2020-11-13 20:48:13,colombia,"Montería, Córdoba, Colombia.",1327352592133976064,https://twitter.com/i/web/status/1327352592133976064
Gobierno restringe la venta de licor por eliminatorias de fútbol https://t.co/ZaCQVMQ4pp https://t.co/OStiPhN7mH,2020-11-13 18:59:49,colombia,"Montería, Colombia",1327325311822950402,https://twitter.com/i/web/status/1327325311822950402
"#MiMensajeALaSelecciónEs que ganen como sea, así sea 1 a 0. Las eliminatorias de acá son durísimas.",2020-11-13 17:26:56,colombia,"Lorica, Colombia",1327301938199851009,https://twitter.com/i/web/status/1327301938199851009
"Vamos @FCFSeleccionCol 
#ColombiavsUruguay
@Eliminatorias_ #ColombiaEsPasion https://t.co/KHLWwGtjt2",2020-11-13 12:51:20,colombia,"Cereté, Colombia",1327232578835910658,https://twitter.com/i/web/status/1327232578835910658
El River de Gallardo 2018 con el plantel completo te gana las eliminatorias caminando.,2020-11-13 12:23:31,colombia,"Cordoba, Buenos aires ",1327225581080092672,https://twitter.com/i/web/status/1327225581080092672
"Yo le tengo una fe bárbara a la selección @FCFSeleccionCol 🇨🇴 no quiere decir que antes no se la haya tenido, solo que está vez siento que hará una mejor presentación en estas eliminatorias, que equipazo tenemos !!!",2020-11-13 02:32:37,colombia,Sahagun-Cordoba,1327076875282374658,https://twitter.com/i/web/status/1327076875282374658
Ver partidos de eliminatorias con mi papá es todo lo que está bien en la vida.,2020-11-12 23:39:34,colombia,Montería. ,1327033324477566977,https://twitter.com/i/web/status/1327033324477566977
Por algo son las eliminatorias mas dificiles del mundo 🤩🤩,2020-11-12 21:30:57,colombia,"Sahagún, Colombia",1327000958585495555,https://twitter.com/i/web/status/1327000958585495555
Goool de Marcelo martins que marca en todas las eliminatorias desde 1950,2020-11-12 21:23:27,colombia,El uberrimo,1326999072339873792,https://twitter.com/i/web/status/1326999072339873792
"La victoria parcial de Ecuador, nos obliga a sacar los 3 puntos mañana frente a Uruguay. Que lindas son las eliminatorias sudamericanas.",2020-11-12 21:19:01,colombia,Montería-Colombia,1326997952888496130,https://twitter.com/i/web/status/1326997952888496130
Ahí está Bolivia otra vez arrastrándose en las eliminatorias,2020-11-12 21:18:58,colombia,El uberrimo,1326997941568086016,https://twitter.com/i/web/status/1326997941568086016
"Lo bueno de esta doble fecha de eliminatorias, vuelven a transmitir de a 2 partidos por día (así sea con los equipos malos). Lo Malo, desafortunadamente, siempre quedará 1 sin transmisión por el horario casi en simultaneo.",2020-11-12 20:59:37,colombia,"Sincelejo, Sucre",1326993071628759043,https://twitter.com/i/web/status/1326993071628759043
Chevere cuando @CaracolTV transmitía todas las eliminatorias 😔,2020-11-12 17:46:07,colombia,"Magangué, Colombia",1326944376069763075,https://twitter.com/i/web/status/1326944376069763075
"El exentrenador uruguayo, Gerardo Pelusso, reconocido por su paso en Santa Fe se refirió a la selección Colombia previo a su duelo con Uruguay.

#DeportesLaRazón #james #duvanzapata #uruguay #colombia #tricolor #barranquilla #col #gerardopelusso #pelusso #eliminatorias https://t.co/4xpgrXxiGp",2020-11-12 13:41:50,colombia,Montería - Colombia,1326882898914533376,https://twitter.com/i/web/status/1326882898914533376
"¡Empieza la disputa! estos son los primeros encuentros de la  fecha 3 de las eliminatorias Conmebol rumbo a Qatar 2022 (hora colombiana).

#DeportesLaRazon #argentina #paraguay #ecuador #bolivia #EliminatoriasSudamericanas https://t.co/qToSQfLnML",2020-11-12 13:18:37,colombia,Montería - Colombia,1326877058836951042,https://twitter.com/i/web/status/1326877058836951042
"@javil9026 Cuando se consolidó en México, la dupla Macdólar y James nos clasificó al mundial de 2014, y poco a poco se fue metiendo Quintero, por ahí estuvo Cardona igual. Para el siguiente ciclo de eliminatorias, fue igual. Fue cosa de suerte.",2020-11-12 03:22:08,colombia,"Sincelejo, Sucre",1326726950136799232,https://twitter.com/i/web/status/1326726950136799232
"!MUCHA ATENCIÓN! #NACIONAL #DEPORTES
Arquero David Ospina, en duda para partido Colombia-Uruguay por Eliminatorias 
Conozca  más detalles aquí en #CHN
https://t.co/Dz4LFtUrDX",2020-11-10 22:10:03,colombia,"Córdoba, Colombia",1326286023681314816,https://twitter.com/i/web/status/1326286023681314816
